student_sentiments,classmatesview,teachersview
nervous,nervous,excited
excited,curious,excited
productive,nervous,excited
useful,nervous,excited
curious,excited,excited
excited,nervous,happy
intrigued,nervous,calm
dreaded,excited,happy
curious,anxious,estatic
worried,difficult,ambitious
nervous,okay,tired
scared,curious,calm
ambivalent,excited,nervous
keen,excited,bored
not-keen,nervous,excited
unconcerned,anxious,excited
nervous,anxious,excited
scared,apprehensive,concerned
eager,nervous,nervous
hopeful,intriguing,budding
nervous,apprehensive,enthusiastic
confusing,nervous,excited
nervous,expect,expect
scared,nervous,excited
excited,worried,excited
sad,excited,optimistic
excited,worried,excited
happy,curious,excited
anxious,anxious,excited
hopeful,relieved,excited
difficult,nervous,excited
attractive,exciting,exciting
timespending,curious,ready
mysterious,excited,excited
intrigue,communication,happy
statistical,expected,interested
database,excited,tired
excited,cooperate,hope
curious,stoked,super
open,intrigued,primed
optimistic,complexity,complexity
excited,nervous,eager
confused,excited,excited
optimistic,exciting,expected
happy,difficult,fun
interested,excited,excited
nervous,excited,excited
eager,anxious,excited
excited,unsure,excited
scared,nervous,excited
anxious,practical,important
failure,aprehensive,normal
nervous,excited,excited
apprehensive,ok,excited
curious,nervous,excited
anxious,cooperation,freedom
excited,excited,mechanical
curious,exciting,happy
apprehensive,excited,excited
resigned,nervous,work
apathetic,strange,excite
curious,curious,interesting
afraid,anxious,confident
nervous,interested,happy
busy,lookingforward,tired
nervous,confident,tired
interested,dreadful,indifferent
doubtful,nervous,happy
pressed,worried,excited
excited,nervous,nervous
curious,relaxed,excited
motivated,nervous,prepared
ready,ready,confident
nervous,anxiety,expectation
strange,exciting,happy
expect,secret,excited
interested,curious,excited
worry,nervous,excited
nervous,nervous,excited
curious,anxious,excited
worried,difficult,excited
excited,nervous,excited
expected,excited,excited
nervous,confused,excited
excited,ready,excited
hopeful,passionate,excited
wary,indifferent,excited
excited,nervous,hopeful
confident,hard,hard
curious,nervous,exciting
mixed,workhard,expectant
stress,trepidation,neutral
pass,excited,bored
happy,nervous,excited
nervous,interested,overwhelmed
nervous,focus,serious
mysterious,nice,passionate
important,anxious,excited
curious,excited,prepared
nervous,hopeful,standard
intrigued,optimistic,motivated
intimidated,new,new
optimistic,excited,peace
nervous,excited,excited
worried,prepared,excited
curious,worried,prepared
excited,worried,ready
communicate,worried,lucky
explore,worried,apprehensive
expected,lazy,prepared
worried,lazy,ready
interested,lazy,lucky
excited,lazy,apprehensive
uncertain,ready,prepared
excited,ready,ready
anxious,ready,lucky
keen,ready,apprehensive
interesting,excited,prepared
workhard,excited,ready
practical,excited,lucky
excited,excited,apprehensive
nervous,complex,interesting
uncertain,enthusiastic,nice
eager,active,friendly
apprehensive,shy,interesting
nervous,nervous,excited
intrigued,curious,excited
excited,excited,expectant
complex,excited,easy
compact,worried,excited
difficult,serious,excited
projects,confident,prepared
intrigued,nervous,excited
nervous,hard,interesting
uncertain,curious,enthusiastic
eager,curious,motivated
nervous,thrill,passion
excited,unknown,excited
interested,good,good
keen,excited,excited
excited,similar,unsure
energetic,excited,excited
curious,,
confused,,
anxious,,
